ID,LED,Band_A,Band_B,Band_C,Band_D,Band_E,Band_F,Band_G,Band_H,Band_I,Band_J,Band_K,Band_L,Band_R,Band_S,Band_T,Band_U,Band_V,Band_W,Condition
1,R,0.289822656,0.14910345947362177,0.8371078667918096,0.5367851238054996,1.8165483371399536,3.308997511909233,4.065359359071209,1.6150623395150028,0.5954138232926122,0.4545679550248698,0.5301738807486323,0.5124850623449283,null,null,null,null,null,null,Healthy
2,G,0.1842085780531132,0.4645551777804312,0.8878555273646164,0.6848985668790156,3.098814493251988,3.9630861399168227,5.87633172,1.240070951484653,0.30946813093695325,0.22014765810185974,0.2768864667290253,0.1986283682431261,null,null,null,null,null,null,Healthy
3,B,0.11777404132420384,0.46922746746507893,0.9240044835122602,0.3817495525787162,1.6600717059128138,2.0554831924625376,2.504754983434536,0.671107161,0.40980573782026886,0.21484031461634526,0.20728799885080323,0.015976807037746524,null,null,null,null,null,null,Healthy
4,R,0.15114896331064742,0.31547529652900647,0.8619079243253518,0.47185593191223474,1.502906642398783,2.793848762832213,3.263187211802918,1.3375151918470038,0.7445453440318162,0.2905405469622939,0.5486726718905031,0.3796810556638853,null,null,null,null,null,null,Healthy
5,G,0.17977950223092537,0.17164132859097764,0.8971696370414043,0.5933733073032375,1.902585826267487,4.021104137747819,5.370995121053727,1.4731316942892783,0.4046865997057052,0.3997761878709568,0.085025646,0.1472546856917465,null,null,null,null,null,null,Healthy
6,B,0.11230856118251958,0.21300814671757026,0.7885885609820905,0.5355287332579357,1.5536283796474437,2.183387993228524,2.3971918275752966,0.7113224098591422,0.19646194121037022,0.11698707266355862,0.14095012175396465,0.20080508477066975,null,null,null,null,null,null,Healthy
7,R,0.22182575639431645,0.044717655,0.8091693892225065,0.24283212159422837,1.4394665353285045,2.560873118043926,3.1049143966342023,1.4039036421486464,0.6212653727950107,0.4970939599171837,0.460932322,0.48696382813170375,null,null,null,null,null,null,Healthy
8,G,0.15300968922328126,0.24667348608195805,0.831139943,0.542147397,2.3564377820017177,3.8736429232245935,6.002667948943451,1.588054198102896,0.2044261195907884,0.2673404117918615,0.24212980088299568,0.25474902237316144,null,null,null,null,null,null,Healthy
9,B,0.3265847889162525,0.47028619422634793,1.037628481,0.7812666295959688,1.8351570137385713,2.6429290361491082,2.4049440438559317,0.94562812,0.3109618836253323,0.1411182361654848,0.17113665456919155,0.16362452466801894,null,null,null,null,null,null,Healthy
10,R,0.098289206,0.038999905,0.6601126308932357,0.5086654830603856,1.4759059774637147,2.6235137372614696,2.8734222986823257,1.2852622972945995,0.42243011921918383,0.39848438,0.3578046585623454,0.471383506,null,null,null,null,null,null,Healthy
11,G,0.1651186496113058,0.26722927280363407,0.9829212089863141,0.593207687,2.4853661261325715,4.1151444512341175,5.261237335131448,1.593606804482471,0.4482467894618234,0.3298591488804811,0.20847037714877648,0.2776965581631409,null,null,null,null,null,null,Healthy
12,B,0.3137478921989557,0.28493795600625793,0.8248750526204061,0.5624675506701287,1.5326282887436216,2.413694066965821,2.8712003339013785,0.9639662295228901,0.14106128026828485,0.18658535426085876,0.22468824881339358,0.12780483953927496,null,null,null,null,null,null,Healthy
13,R,0.027046196,0.2935681088429773,0.7022484706430253,0.4990695029739059,1.5722439632393177,2.616133410219062,3.4376651005502206,1.250477759349329,0.6283895046716153,0.512462536,0.3373610974968727,0.4332244410490099,null,null,null,null,null,null,Healthy
14,G,0.30623536992518413,0.19041306522236442,1.1218996882673717,0.7693560193082124,2.4356491201604107,3.8906065951844875,5.542995869149717,1.5885966557514533,0.3162219915453252,0.2494368123783857,0.3047401719249888,0.2888177062653238,null,null,null,null,null,null,Healthy
15,B,0.25286602296992083,0.3979337275503867,0.8527805921844411,0.9616236380662685,1.8901250565497079,2.9252218672617842,2.675695980053577,1.1104944976434743,0.25795232955061537,0.23906539605780422,0.30951743325367176,0.21653973005689725,null,null,null,null,null,null,Healthy
16,R,0.2663937675029419,0.18891494941161072,0.8366920872311102,0.3047889610838278,2.1258988993318204,2.853797525638499,4.118693311578477,1.6245019960540834,0.4482285612174263,0.4730917738991303,0.4884957702730596,0.5253271182726528,null,null,null,null,null,null,Healthy
17,G,0.084050689,0.3789655942919332,1.0747053877920363,0.5238951717581933,2.201478068542355,4.357044575444118,6.054180107993259,1.7922157566812837,0.21302832097901314,0.2378882151317615,0.2595838869348953,0.12747152093012068,null,null,null,null,null,null,Healthy
18,B,0.17216147533628828,0.1460684731547603,0.6483903412851663,0.4393019814728535,1.952257879705877,2.6059662017383767,3.2294301019193377,0.8801495989081924,0.2963936339681422,0.27487172138240484,0.2711380449870982,0.12311868772860098,null,null,null,null,null,null,Healthy
19,R,0.025621171048417244,0.2784973915261132,0.8705548098451662,0.3534456793137482,2.0775688472825675,3.2189431678742735,4.3286966972088985,1.7341335616954103,0.44883287789094967,0.582420918,0.3976546492222345,0.5760875460317318,null,null,null,null,null,null,Healthy
20,G,0.13378406592119743,0.2400431077161156,0.9839449870771729,0.7167338869925505,1.8209456462027926,3.290869496943755,4.441672575153677,1.051666968484287,0.3454025412910262,0.3324652387756437,0.19061082251485603,0.096509748,null,null,null,null,null,null,Healthy
21,B,0.208485863,0.2794904732072287,0.9000509366941422,0.43562663556854014,1.735694466680893,2.7987574831172406,2.768818876924865,0.8880536688575473,0.3561501459499197,0.089418195,0.2292395248054453,0.343428228,null,null,null,null,null,null,Healthy
22,R,0.24268463687069758,0.093460429,0.8785381269097534,0.33465847231591367,1.8556125468880216,3.0346321211175615,3.6787530564778788,1.5901409202583465,0.5216133378311781,0.37628622610618384,0.399626099,0.4634646811897972,null,null,null,null,null,null,Healthy
23,G,0.20571041960997005,0.11364484617136138,1.087466366636114,0.37869167681665833,2.1950851924428423,4.616213070848814,5.035629236716495,1.6262027640497005,0.2852093301962212,0.16100634941964537,0.23125873126800398,0.074508474,null,null,null,null,null,null,Healthy
24,B,0.13974797405122638,0.3149387414295517,1.001514340559307,0.3892982574541704,1.2870514152161574,2.078656217088278,2.4698100280119912,0.7981462055670725,0.13123820830280944,0.12023529193291399,0.3100209681306369,0.1254346813738789,null,null,null,null,null,null,Healthy
25,R,0.031424268,0.10364685553585644,0.45991500603501384,0.3369513497826123,1.3231532186179078,2.2901364174949856,3.1645815328181874,1.494152811,0.4542805695776822,0.48522540618613524,0.2812517720949123,0.5087742094965143,null,null,null,null,null,null,Healthy
26,G,0.17188435746691605,0.262764616,0.7285322301645417,0.6114921419905699,2.179320500626524,3.9665772833529136,5.441584878464759,1.4559778724982968,0.34081728276875395,0.1484840546615939,0.12464210416783186,0.15171038178790652,null,null,null,null,null,null,Healthy
27,B,0.073413142,0.29574108431490753,0.9622180782447879,0.4899068324122532,1.7889380996394346,2.4475348187444665,2.563817603045408,0.9058205258477204,0.34443264135505897,0.218834103,0.17934321354067914,0.27553354814325093,null,null,null,null,null,null,Healthy
28,R,0.19851142289452992,0.27573316263107894,0.7662986567341479,0.4383355813754198,1.9009404217776784,2.8836184447930684,4.343247743668612,1.4886223148919369,0.6813689768411483,0.5040738172331927,0.4740637787167714,0.695093735,null,null,null,null,null,null,Healthy
29,G,0.29223891031345256,0.24929928649822114,0.8809986202902642,0.6742500443370663,2.8284782737034093,4.514126746,5.047642095962887,1.5667880148422635,0.23409691306439864,0.32998322133843866,0.3211667631787272,0.21398284417322472,null,null,null,null,null,null,Healthy
30,B,0.2897740006016114,0.21693935715289978,0.8875350111216909,0.5000482938666865,1.3856823062015702,2.0125200608214073,2.106372300334605,0.7498338959126895,0.25573449317212277,0.20737831730613224,0.12696926948766643,0.039388809934694985,null,null,null,null,null,null,Healthy
31,R,0.23925012791633252,0.18491784626713834,0.8673924357804694,0.3782656627762288,1.7449145516481537,3.1001298626246068,3.6662546509612723,1.6472464880404059,0.42211698250635155,0.6031571924721556,0.2562913472277783,0.588521198,null,null,null,null,null,null,Healthy
32,G,0.12638213359462058,0.2311476959858137,0.7193592640926516,0.42694283182503734,1.692531240815763,3.146089735597859,4.430438195512532,1.033331041592276,0.18951406207810265,0.083215122,0.12244708268477905,0.22082500315970652,null,null,null,null,null,null,Healthy
33,B,0.19352909080348651,0.34364882882026193,0.8801322583727157,0.3500758120444273,1.2946104956284994,2.1927539909371463,2.9636530906554235,0.7217280580065097,0.43997729374887773,0.16551624678899843,0.26309942513855605,0.1442723397397702,null,null,null,null,null,null,Healthy
34,R,0.1189161309597327,0.20854778287763753,0.6452100382941017,0.379113901,1.2694600068057895,2.4288522651458058,3.7538594704609545,1.5274653389806836,0.6071946594728292,0.36281374131609445,0.3439447421448962,0.35450332709887067,null,null,null,null,null,null,Healthy
35,G,0.11673730322673548,0.25729209569992617,0.8239345086640605,0.6217471166837625,2.0077450182049414,4.315632170226389,4.330532567567041,1.2772707986634892,0.5774378658184579,0.159466865,0.095270086,0.15743611108372393,null,null,null,null,null,null,Healthy
36,B,0.14533595323933857,0.3395349372938444,1.0220005385132016,0.7900098436029724,1.6758588004568429,2.4983148183925237,3.0371575475742443,0.9017664724242462,0.35048849091136497,0.24713869387432125,0.42871192422208737,0,null,null,null,null,null,null,Healthy
37,R,0.028183623,0.08899272,0.5955749096360957,0.34841118284804695,1.7439143764630065,2.9870739576272967,3.2483649121597553,1.3680486946996104,0.581497532,0.35798073155595755,0.42991081474617054,0.49808503811636695,null,null,null,null,null,null,Healthy
38,G,0.12527492166720944,0.17479371307524902,0.9583417885381127,0.6779067229417637,2.420511305,3.875434672907514,4.762700033047837,1.4867556074702135,0.4518909040341236,0.3815404705426751,0.3292046485203503,0.2419917865149122,null,null,null,null,null,null,Healthy
39,B,0.25071584021716165,0.3868006896035161,1.1768030836737207,0.6148014797755563,1.8899880361789634,2.334076162492789,2.7057258263797253,0.904721139,0.24201501385920476,0.12672718751335482,0.36975638762041924,0.4297033710953026,null,null,null,null,null,null,Healthy
40,R,0.064352874,0.2608989675168758,0.762969846,0.48427922331777046,1.633398462356564,2.8034649403650165,3.188783536536992,1.1021538576178629,0.4237683522124982,0.5350339584905663,0.530061732,0.3958117711670485,null,null,null,null,null,null,Healthy
41,G,0.097931843,0.18207356853507978,1.192932080869766,0.4580504769837726,2.251240562301074,4.063321591987307,5.527037375948569,1.6297524140713644,0.4576185238892133,0.12609861130942848,0.075065337,0.27166820997502267,null,null,null,null,null,null,Healthy
42,B,0.072127891,0.5251914902286499,0.991909744,0.5031515944787939,1.5113595511770868,2.2439038993836746,2.286636746112782,0.8609007677899815,0.21541813238518187,0.34982956673595667,0.25683789341967905,0.20139607581438687,null,null,null,null,null,null,Healthy
43,R,0.08149376,0.3861227915286694,0.8941906779223463,0.695391453,2.058657176790975,2.8568087671297806,3.759914566021392,1.648401148151888,0.7700879035946574,0.41564415258949566,0.3234711837873953,0.3483553412903037,null,null,null,null,null,null,Healthy
44,G,0.11794407500605954,0.04832394,0.9456467392561373,0.5264199170866664,1.9777745335912296,3.366508928050123,4.5435602078480235,1.6294249843322184,0.24320879326902856,0.00948768,0.038770911,0.17531878433910708,null,null,null,null,null,null,Healthy
45,B,0.2244318660596075,0.4965933273565971,1.2387968807552747,0.7524824525836205,2.1202934408497036,2.8181739817801925,3.214553128850925,1.273124642427454,0.19506505061555512,0.31110949790790754,0.29030918848629095,0.2446183368019244,null,null,null,null,null,null,Healthy
46,R,0.21518957965325997,0.2357383465227594,0.7291558099539036,0.3892266440229749,1.6587916612249418,3.054794452319562,4.083244582752447,1.1409726465226935,0.5230494696385026,0.40222001300162813,0.5009989996989911,0.5873277523029007,null,null,null,null,null,null,Healthy
47,G,0.11855524631425532,0.11085322059755383,0.9367923612724474,0.6430656142799699,2.426280190198125,4.876152193413503,5.021723067188266,1.3691625033091168,0.42970567743184646,0.2228753371231855,0.13011053098360656,0.3432642979859825,null,null,null,null,null,null,Healthy
48,B,0.1851325954389196,0.3911871186830691,0.9012855891116902,0.6479494354190791,1.473612938751871,2.4605880806336673,2.447319050005483,0.96969586,0.1992851013673887,0.23035335390756873,0.2264016664636536,0.088470853,null,null,null,null,null,null,Healthy
49,R,0.19474719733104123,0.2967740104609842,0.8312559115914319,0.47855593392392526,1.5788779740335233,2.4045116861256144,3.3403719393053946,1.653476026,0.4644876563454718,0.6124497539114643,0.49263783535264544,0.5986274726520111,null,null,null,null,null,null,Healthy
50,G,0.019783394964973302,0.36573904983538347,0.5957854090262765,0.7022578194236281,2.279790554535164,4.907744104037548,5.293441032586643,1.4894668152656796,0.3616995917114729,0.2882714220013219,0.2187262179078891,0.2931800548799413,null,null,null,null,null,null,Healthy
51,B,0.1390351537301403,0.45170125645885234,1.1893412432299173,0.48287773464608613,1.5792438927775905,3.0069286546894927,2.5947148833920917,1.1383083237084353,0.3461632296405875,0.4901272603379031,0.15659162539099925,0.18099905108083866,null,null,null,null,null,null,Healthy
52,R,0.10555372744939118,0.28439208021025236,0.5167442012627707,0.43347336704927125,1.6675918001107353,3.0245204490882047,3.148078712081486,1.5395669964390533,0.3424748591526092,0.23022392835899239,0.42392157312551176,0.6412739780691511,null,null,null,null,null,null,Healthy
53,G,0.2313299127569236,0.27089755,0.8707246740587536,0.7967492750317811,2.614391027200123,4.213315180282006,5.542713352565776,1.5547448511745379,0.2477053279598228,0.3352486296738126,0.22704404642261095,0.2787005748823379,null,null,null,null,null,null,Healthy
54,B,0.21258245854991364,0.395271318,0.9650296132503027,0.6197900243029593,1.3280080930415605,2.2933003798298963,2.4681066827387004,0.8439808937782821,0.31580485639307915,0.20378719272283022,0.23297133277032012,0.2504210275663114,null,null,null,null,null,null,Healthy
55,R,0.24604177682482828,0.21869358777860612,0.7930080850059124,0.19802364202296674,1.549110759385237,2.3638129579835674,2.7553774486172804,1.3330965790124585,0.4825662356230302,0.4197151127816338,0.5167270559625184,0.3819621585214502,null,null,null,null,null,null,Healthy
56,G,0.055506043,0.17190378526111472,0.6307470317754471,0.5987522461014017,2.214330198697194,4.156365185798502,4.084438299811611,1.4104635356995356,0.2818010686219895,0.28572698576724226,0.23794142079671676,0.2913876813076189,null,null,null,null,null,null,Healthy
57,B,0.28774616654496493,0.32927931948784556,1.0206709448395146,0.3657500220138341,1.9035337639378647,2.7663516841381814,2.6792131673881268,0.8712815556574999,0.10382621993343191,0.16513306725215665,0.1224752143837656,0.1085756974446232,null,null,null,null,null,null,Healthy
58,R,0.092995083,0.10780485359759316,0.7405926662338813,0.4166954929367142,1.5250993455336994,2.7606104072928073,3.5224920881411834,1.4299414697105621,0.44736174495326125,0.2610299453596541,0.540265223,0.47321880515483933,null,null,null,null,null,null,Healthy
59,G,0.14318880139800422,0.2990552040208287,0.926546091,0.7254788295995064,2.250561441515221,3.492809995233162,4.471849603226585,1.1499441476348662,0.41124800913212073,0.078178524,0.183909351,0.2910880940590632,null,null,null,null,null,null,Healthy
60,B,0.2825914205001863,0.22955128270252947,1.007079903662661,0.509119663,1.6176204624989337,2.087893019431017,1.8818793021049645,0.9353059595168522,0.18886565932486646,0.15533986921069015,0.20042361046186596,0.11097896569517404,null,null,null,null,null,null,Healthy
61,R,0.1211841189968599,0.1701810600432907,0.6467759606541541,0.8309100456302472,1.4625608686807714,3.000125461220621,3.674376476143267,1.7621223693379526,0.568298393,0.3987072897391589,0.5814974598728104,0.40943430751546545,null,null,null,null,null,null,Healthy
62,G,0.032459551,0.2217674535696587,1.0596091044068001,0.43646985174189373,2.6639341306880997,4.354445359221551,5.483004873060478,1.4736262888535534,0.33773260829921303,0.19255118918782102,0.015866317546239104,0.3127324816692016,null,null,null,null,null,null,Healthy
63,B,0.049400102145924905,0.3440864132753605,0.7491555613589562,0.47882526535853903,1.7241736922205204,2.691300880220339,2.877517543,1.0151693699996454,0.32347745582031284,0.2749250347650055,0.1569261947312412,0.1005102473588191,null,null,null,null,null,null,Healthy
64,R,0.19089396499599215,0.17787769411778093,0.6774714631432529,0.22055163972640165,1.3825287251868614,2.848495171722661,3.0241822921684998,1.2078064800573585,0.5832604059998145,0.36939862074599605,0.15920836783147949,0.43857817855205267,null,null,null,null,null,null,Healthy
65,G,0.12789362617517577,0.42591272240659384,1.085000720604346,0.7380304174403176,2.3940599292054436,4.0223558274267885,4.9891252761540805,1.5672742876808194,0.43286719182113736,0.23215318573267288,0.12829491102048327,0.27447252400766725,null,null,null,null,null,null,Healthy
66,B,0.1978661364648509,0.27209858273373716,0.9270025869205568,0.6016216409297036,1.4648830908429167,2.2004645928115996,2.605488983229165,0.6677398796140364,0.4846522708776656,0.2911111393022542,0.2991475868327777,0.039734643450688244,null,null,null,null,null,null,Healthy
67,R,0.039263864,0.15071495458363257,0.8192035665469183,0.46974880728009055,1.854475215476159,3.0565512295185635,3.8306553038763975,1.6345186042340976,0.25728122098862033,0.643844184,0.5274192912731125,0.6121044423285465,null,null,null,null,null,null,Healthy
68,G,0.1899866136156875,0.42261091807971274,0.7643796951094819,0.6587413529943854,2.5171302624827097,5.106928536339036,6.661585353,1.7214643193913113,0.41097337595831923,0.3244561559385181,0.31504803727922764,0.17104490902870126,null,null,null,null,null,null,Healthy
